Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
31158222,Ancient Philosophy: The Fundamentals,Daniel W. Graham,"Graham, Daniel W.",,"=""111911019X""","=""9781119110194""",3,4.00,Wiley-Blackwell,ebook,244,2018,,2020/09/22,2020/09/15,"2020, non-fiction, philosophy-theology","2020 (#41), non-fiction (#317), philosophy-theology (#158)",read,,,,1,0
42973138,Det här är en svensk tiger,Aron Flam,"Flam, Aron",,"=""""","=""""",0,3.61,,,,2018,2018,2020/09/20,2020/09/10,"2020, non-fiction, philosophy-theology","2020 (#38), non-fiction (#316), philosophy-theology (#157)",read,,,,2,0
50057659,Illvilje (William Wisting #14),Jørn Lier Horst,"Horst, Jørn Lier",,"=""""","=""9788293671756""",3,4.06,Capitana,Hardcover,366,2019,2019,2020/09/19,2020/09/17,"2020, fiction","2020 (#40), fiction (#108)",read,,,,3,0
34494,"The Wee Free Men (Discworld, #30; Tiffany Aching, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060012382""","=""9780060012380""",3,4.28,HarperTrophy,Mass Market Paperback,375,2004,2003,2020/09/15,2020/09/04,"2020, fiction","2020 (#39), fiction (#107)",read,,,,1,0
51871886,The Clock Mirage: Our Myth of Measured Time,Joseph Mazur,"Mazur, Joseph",,"=""0300229321""","=""9780300229325""",3,3.36,Yale University Press,Hardcover,272,2020,2020,2020/09/10,2020/09/08,"2020, non-fiction, science-history","2020 (#37), non-fiction (#315), science-history (#179)",read,,,,1,0
52545369,Den själviska genen,Richard Dawkins,"Dawkins, Richard",,"=""""","=""""",4,4.15,Prisma,,299,1992,1976,2020/09/09,2020/08/29,"2020, non-fiction, science-history","2020 (#36), non-fiction (#314), science-history (#178)",read,,,,1,0
52386573,The Good State: On the Principles of Democracy,A.C. Grayling,"Grayling, A.C.",,"=""1786077183""","=""9781786077189""",3,3.90,Oneworld Publications,Hardcover,256,2020,,2020/09/08,2020/08/30,"2020, non-fiction, philosophy-theology","2020 (#35), non-fiction (#313), philosophy-theology (#156)",read,,,,1,0
52300019,Nollpunkt,Jørn Lier Horst,"Horst, Jørn Lier",Thomas Enger,"=""""","=""9789146236191""",3,4.06,Wahlström & Widstrand,Hardcover,400,2020,2018,2020/09/07,2020/09/02,"2020, fiction","2020 (#34), fiction (#106)",read,,,,1,0
41154999,Three Laws of Nature: A Little Book on Thermodynamics,R. Stephen Berry,"Berry, R. Stephen",,"=""0300238789""","=""9780300238785""",3,3.47,Yale University Press,Hardcover,184,2019,,2020/09/02,2020/08/31,"2020, non-fiction, science-history","2020 (#33), non-fiction (#312), science-history (#177)",read,,,,1,0
32765188,Complexity and Chaos,Roger White,"White, Roger",Edwin Newman,"=""1433238527""","=""9781433238529""",3,3.76,Knowledge Products,ebook,,2006,1994,2018/04/18,2018/04/18,"non-fiction, science-history, 2018","non-fiction (#88), science-history (#44), 2018 (#51)",read,,,,1,0
